label,Eusocial,HD.all
Agrilus_sulcicollis,solitary,DD
Chrysobothris_affinis,solitary,DD
Polycesta_aruensis,solitary,DD
Rismethus_ryukyuensis,solitary,DD
Displatynychus_adjutor,solitary,DD
Ludioschema_akashii,solitary,DD
Ampedus_pauxillus,solitary,DD
Ampedus_nigerrimus,solitary,DD
Ampedus_semicinctus,solitary,DD
Brachygonus_megerlei,solitary,DD
Prosternon_aurichalceum,solitary,DD
Denticollis_nigricollis,solitary,DD
Ectinus_higonius,solitary,DD
Photuris_tremulans,solitary,DD
Pyrocoelia_atripennis,solitary,DD
Photinus_marginellus,solitary,DD
Drilaster_okinawensis,solitary,DD
Trixagus_dermestoides,solitary,DD
Chauliognathus_opacus,solitary,DD
Malthinus_frontalis,solitary,DD
Rhagonycha_nigripes,solitary,DD
Hatchiana_jirisanensis,solitary,DD
Esolus_pygmaeus,solitary,DD
Macronychus_glabratus,solitary,DD
Riolus_cupreus,solitary,DD
Limnichus_sericeus,solitary,DD
Anaspis_varians,solitary,DD
Anaspis_mulsanti,solitary,DD
Zilora_obscura,solitary,DD
Pseudandrosus_caerulus,solitary,DD
Isopus_latus,solitary,DD
Crypticus_quisquilius,solitary,DD
Blaps_nitens,solitary,DD
Chaerodes_trachyscelides,solitary,DD
Orthocis_lucasi,solitary,DD
Dolichocis_manitoba,solitary,DD
Oedemera_barbara,solitary,DD
Mordellochroa_scapularis,solitary,DD
Enoclerus_nigripes,solitary,DD
Calitys_scabra,solitary,DD
Phyllobaenus_guatemalae,solitary,DD
Olibrus_bicolor,solitary,DD
Glischrochilus_quadripunctatus,solitary,DD
Soronia_punctatissima,solitary,DD
Thalycrodes_cylindricum,solitary,DD
Epuraea_oblonga,solitary,DD
Boragogethes_rosenhaueri,solitary,DD
Meligethes_exilis,solitary,DD
Diplocoelus_fagi,solitary,DD
Rhizophagus_aeneus,solitary,DD
Aiolocaria_hexaspilota,solitary,DD
Corticarina_similata,solitary,DD
Menesia_flavotecta,solitary,DD
Saperda_octomaculata,solitary,DD
Moechotypa_formosana,solitary,DD
Pothyne_virginalis,solitary,DD
Cryptocephalus_parvulus,solitary,DD
Lilioceris_merdigera,solitary,DD
Donacia_vulgaris,solitary,DD
Macroplea_appendiculata,solitary,DD
Stictoleptura_trisignata,solitary,DD
Cryptocephalus_bipunctatus,solitary,DD
Cortodera_humeralis,solitary,DD
Hispa_atra,solitary,DD
Microrhopala_vittata,solitary,DD
Chrysomela_saliceti,solitary,DD
Longitarsus_tabidus,solitary,DD
Trirhabda_borealis,solitary,DD
Galerucella_tenella,solitary,DD
Mantura_obtusata,solitary,DD
Stator_furcatus,solitary,DD
Platyrhinus_resinosus,solitary,DD
Bruchela_conformis,solitary,DD
Protapion_nigritarse,solitary,DD
Aspidapion_radiolus,solitary,DD
Apion_frumentarium,solitary,DD
Oxystoma_subulatum,solitary,DD
Lachnopus_seini,solitary,DD
Otiorhynchus_perdix,solitary,DD
Otiorhynchus_sulphurifer,solitary,DD
Diaprepes_abbreviatus,solitary,DD
Dryophthorus_corticalis,solitary,DD
Dichromacalles_dromedarius,solitary,DD
Dendroacalles_euphorbiacus,solitary,DD
Acalles_argillosus,solitary,DD
Silvacalles_nubilosus,solitary,DD
Echinodera_diottii,solitary,DD
Echinodera_vitoensis,solitary,DD
Kyklioacalles_solarii,solitary,DD
Kyklioacalles_bupleuri,solitary,DD
Trigonopterus_variabilis,solitary,DD
Trigonopterus_ascendens,solitary,DD
Trigonopterus_strigatus,solitary,DD
Trigonopterus_strombosceroides,solitary,DD
Trigonopterus_basalis,solitary,DD
Austroplatypus_incompertus,eusocial,DD
Metialma_balsaminae,solitary,DD
Ceutorhynchus_triangulum,solitary,DD
Archarius_salicivorus,solitary,DD
Eccoptopterus_spinosus,solitary,DD
Arixyleborus_morio,solitary,DD
Coptodryas_elegans,solitary,DD
Anisandrus_dispar,solitary,DD
Thamnurgus_petzi,solitary,DD
Scolytus_morawitzi,solitary,DD
Lepanus_politus,solitary,DD
Diorygopyx_niger,solitary,DD
Apotolamprus_ambohitsitondronensis,solitary,DD
Onthophagus_laminatus,solitary,DD
Onthophagus_orpheus,solitary,DD
Amphimallon_solstitiale,solitary,DD
Phyllophaga_spreta,solitary,DD
Costelytra_brunnea,solitary,DD
Jekelius_nitidus,solitary,DD
Trox_sabulosus,solitary,DD
Hydraena_monstruosipes,solitary,DD
Hydraena_servilia,solitary,DD
Nargus_brunneus,solitary,DD
Speophyes_lucidulus,solitary,DD
Leiodes_badius,solitary,DD
Bibloplectus_tenebrosus,solitary,DD
Mycetoporus_mulsanti,solitary,DD
Mycetoporus_clavicornis,solitary,DD
Phloeocharis_subtilissima,solitary,DD
Ptenidium_pusillum,solitary,DD
Smicrus_filicornis,solitary,DD
Myllaena_intermedia,solitary,DD
Hoplandria_lateralis,solitary,DD
Oxyporus_maxillosus,solitary,DD
Amblopusa_magna,solitary,DD
Earota_reyi,solitary,DD
Liogluta_granigera,solitary,DD
Atheta_cribripennis,solitary,DD
Atheta_spatuloides,solitary,DD
Paederus_schoenherri,solitary,DD
Stenus_intermedius,solitary,DD
Ochthebius_melanescens,solitary,DD
Cymbiodyta_marginella,solitary,DD
Agabus_ambiguus,solitary,DD
Ilybius_fenestratus,solitary,DD
Rhantus_phocaenarum,solitary,DD
Rhantus_vitiensis,solitary,DD
Hydroporus_marginatus,solitary,DD
Hygrotus_unguicularis,solitary,DD
Nebrioporus_elegans,solitary,DD
Deronectes_aubei,solitary,DD
Gyrinus_cavatus,solitary,DD
Notiophilus_rufipes,solitary,DD
Cicindela_sylvatica,solitary,DD
Cicindela_parowana,solitary,DD
Cicindela_duodecimguttata,solitary,DD
Helluomorphoides_texanus,solitary,DD
Amara_equestris,solitary,DD
Amara_consularis,solitary,DD
Pterostichus_intectus,solitary,DD
Pterostichus_riparius,solitary,DD
Dicaelus_elongatus,solitary,DD
Leiradira_alternans,solitary,DD
Agonum_gracile,solitary,DD
Agonum_melanarium,solitary,DD
Anisodactylus_binotatus,solitary,DD
Selenophorus_planipennis,solitary,DD
Calodromius_spilotus,solitary,DD
Cychrus_kralianus,solitary,DD
Carabus_glabratus,solitary,DD
Carabus_hiurai,solitary,DD
Carabus_genei,solitary,DD
Carabus_sackeni,solitary,DD
Bembidion_gilvipes,solitary,DD
Bembidion_vile,solitary,DD
Bembidion_escherichi,solitary,DD
Bembidion_inaequale,solitary,DD
Bembidion_aenulum,solitary,DD
Asaphidion_pallipes,solitary,DD
Bembidion_maroccanum,solitary,DD
Dyschiriodes_intermedius,solitary,DD
Stylops_cressoni,solitary,DD
Raphidia_ophiopsis,solitary,DD
Semidalis_aleyrodiformis,solitary,DD
Hemerobius_perelegans,solitary,DD
Wesmaelius_subnebulosus,solitary,DD
Megalodontes_olivieri,solitary,HD
Hartigia_trimaculata,solitary,HD
Prosevania_fuscipes,solitary,HD
Plectiscidea_prolata,solitary,HD
Woldstedtius_holarcticus,solitary,HD
Rhyssa_amoena,solitary,HD
Polyblastus_alternans,solitary,HD
Polyblastus_pumilus,solitary,HD
Cratichneumon_viator,solitary,HD
Coelichneumon_eximius,solitary,HD
Ichneumon_karpaticus,solitary,HD
Cryptus_albitarsis,solitary,HD
Thyreodon_whitfieldi,solitary,HD
Enicospilus_hacha,solitary,HD
Enicospilus_galilea,solitary,HD
Synodites_lineiger,solitary,HD
Trichomma_enecator,solitary,HD
Lathrostizus_forticanda,solitary,HD
Caenopachys_hartigii,solitary,HD
Psyttalia_concolor,solitary,HD
Hormius_moniliatus,solitary,HD
Aleiodes_lobocarinus,solitary,HD
Aleiodes_atuin,solitary,HD
Aphidius_funebris,solitary,HD
Meteorus_abscissus,solitary,HD
Meteorus_ictericus,solitary,HD
Cotesia_kariyai,solitary,HD
Crassomicrodus_pallens,solitary,HD
Andrena_subopaca,solitary,HD
Andrena_dorsata,solitary,HD
Andrena_bimaculata,solitary,HD
Andrena_distinguenda,solitary,HD
Chilimelissa_irwini,solitary,HD
Colletes_foveolaris,solitary,HD
Colletes_sierrensis,solitary,HD
Colletes_seminitidus,solitary,HD
Hylaeus_styriacus,solitary,HD
Hylaeus_globula,solitary,HD
Halictus_compressus,solitary,HD
Lasioglossum_marinum,solitary,HD
Sphecodes_prosphorus,solitary,HD
Sphecodes_crassanus,solitary,HD
Nomioides_minutissimus,solitary,HD
Dufourea_paradoxa,solitary,HD
Osmia_mustelina,solitary,HD
Osmia_lignaria,solitary,HD
Hoplitis_ravouxi,solitary,HD
Bombus_ternarius,eusocial,HD
Bombus_sichelii,eusocial,HD
Frieseomelitta_doederleini,eusocial,HD
Liotrigona_madecassa,eusocial,HD
Apis_mellifera,eusocial,HD
Xylocopa_frontalis,solitary,HD
Trachypus_elongatus,solitary,HD
Philanthus_pulcher,solitary,HD
Philanthus_zebratus,solitary,HD
Polistes_occipitalis,eusocial,HD
Apoica_gelida,eusocial,HD
Mischocyttarus_lecointei,eusocial,HD
Belonogaster_juncea,eusocial,HD
Ancistrocerus_campestris,solitary,HD
Monobia_quadridens,solitary,HD
Discoelius_zonalis,solitary,HD
Euparagia_desertorum,solitary,HD
Leptothorax_ambiguus,eusocial,HD
Strumigenys_agetos,eusocial,HD
Monomorium_emarginatum,eusocial,HD
Pheidole_allarmata,eusocial,HD
Pheidole_variabilis,eusocial,HD
Pheidole_megacephala,eusocial,HD
Myrmica_kotokui,eusocial,HD
Myrmica_rubra,eusocial,HD
Camponotus_prosseri,eusocial,HD
Camponotus_gasseri,eusocial,HD
Formica_obscuripes,eusocial,HD
Linepithema_humile,eusocial,HD
Pseudomyrmex_viduus,eusocial,HD
Dorylus_arcens,eusocial,HD
Sclerodermus_harmandi,solitary,HD
Pepsis_elegans,solitary,HD
Trissolcus_japonicus,solitary,HD
Synergus_ishikarii,solitary,HD
Ufo_nipponicus,solitary,HD
Alloxysta_leunisii,solitary,HD
Andricus_pictus,solitary,HD
Andricus_curvator,solitary,HD
Isocolus_leuzeae,solitary,HD
Ormyrus_labotus,solitary,HD
Eupelmus_tibicinis,solitary,HD
Philotrypesis_tridentata,solitary,HD
Euplectrus_victoriapookae,solitary,HD
Euplectrus_markshawi,solitary,HD
Haltichella_rufipes,solitary,HD
Copidosoma_noyesi,solitary,HD
Asecodes_lucens,solitary,HD
Chrysonotomyia_germanica,solitary,HD
Anicetus_ohgushii,solitary,HD
Perreyia_nigriceps,solitary,HD
Arge_frivaldszkyi,solitary,HD
Aproceros_leucopoda,solitary,HD
Eutomostethus_luteiventris,solitary,HD
Empria_hungarica,solitary,HD
Claremontia_confusa,solitary,HD
Tenthredo_haberhaueri,solitary,HD
Tenthredo_radoszkowskii,solitary,HD
Tenthredo_flaveola,solitary,HD
Kerita_fidala,solitary,HD
Adelomos_cleone,solitary,HD
Nematus_viridissimus,solitary,HD
Euura_foetidae,solitary,HD
Euura_viduata,solitary,HD
Pristiphora_leucopodia,solitary,HD
Pristiphora_breadalbanensis,solitary,HD
Pristiphora_glauca,solitary,HD
Culicoides_jumineri,solitary,DD
Culicoides_pallidulus,solitary,DD
Dasyhelea_malleola,solitary,DD
Tanypus_kraatzi,solitary,DD
Tanytarsus_medius,solitary,DD
Tanytarsus_usmaensis,solitary,DD
Chironomus_dorsalis,solitary,DD
Sergentia_electa,solitary,DD
Orthocladius_dubitatus,solitary,DD
Heterotanytarsus_apicalis,solitary,DD
Zavrelimyia_melanura,solitary,DD
Simulium_crenobium,solitary,DD
Simulium_burgeri,solitary,DD
Simulium_quinquestriatum,solitary,DD
Simulium_confusum,solitary,DD
Simulium_arcticum,solitary,DD
Prosimulium_magnum,solitary,DD
Anopheles_turkhudi,solitary,DD
Anopheles_saeungae,solitary,DD
Anopheles_darlingi,solitary,DD
Culex_surinamensis,solitary,DD
Culex_erythrothorax,solitary,DD
Ochlerotatus_abserratus,solitary,DD
Ochlerotatus_cantator,solitary,DD
Ochlerotatus_dorsalis,solitary,DD
Aedes_novoniveus,solitary,DD
Aedes_niveoides,solitary,DD
Acartomyia_mariae,solitary,DD
Malaya_jacobsoni,solitary,DD
Sergentomyia_schwetzi,solitary,DD
Psychoda_erminea,solitary,DD
Protoplasa_fitchii,solitary,DD
Platypalpus_mikii,solitary,DD
Chersodromia_isabellae,solitary,DD
Crossopalpus_minimus,solitary,DD
Megaselia_subnitida,solitary,DD
Megaselia_impolluta,solitary,DD
Dasydorylas_horridus,solitary,DD
Sphaerophoria_philanthus,solitary,DD
Fazia_imitator,solitary,DD
Epistrophe_xanthostoma,solitary,DD
Melangyna_umbellatarum,solitary,DD
Platycheirus_marokkanus,solitary,DD
Helophilus_fasciatus,solitary,DD
Eristalis_arbustorum,solitary,DD
Leschenaultia_halisidotae,solitary,DD
Gonia_pilosa,solitary,DD
Smidtia_japonica,solitary,DD
Penicillidia_jenynsii,solitary,DD
Phaonia_apicalis,solitary,DD
Spilogona_setipes,solitary,DD
Spilogona_trigonifera,solitary,DD
Phaonia_valida,solitary,DD
Phaonia_savonoskii,solitary,DD
Lispe_nana,solitary,DD
Coenosia_obscuricula,solitary,DD
Conops_chinensis,solitary,DD
Caricea_varians,solitary,DD
Neomuscina_currani,solitary,DD
Cynomya_cadaverina,solitary,DD
Sarcophaga_schineri,solitary,DD
Sarcophaga_longifilia,solitary,DD
Sarcophaga_ruficornis,solitary,DD
Sarcophaga_taenionota,solitary,DD
Sarcophaga_fertoni,solitary,DD
Protocalliphora_azurea,solitary,DD
Calycomyza_malvae,solitary,DD
Stegana_lingnanensis,solitary,DD
Stegana_masanoritodai,solitary,DD
Dacus_bivittatus,solitary,DD
Dacus_flavicrus,solitary,DD
Rhagoletis_mendax,solitary,DD
Fannia_pusio,solitary,DD
Hoplodictya_acuticornis,solitary,DD
Dictya_floridensis,solitary,DD
Dicranosepsis_crinita,solitary,DD
Themira_pusilla,solitary,DD
Suillia_flagripes,solitary,DD
Zaprionus_spinipilus,solitary,DD
Apenthecia_argentata,solitary,DD
Drosophila_multiciliata,solitary,DD
Drosophila_pectinifera,solitary,DD
Drosophila_borusta,solitary,DD
Drosophila_machalilla,solitary,DD
Drosophila_ornatipennis,solitary,DD
Phortica_protrusa,solitary,DD
Phortica_antillaria,solitary,DD
Leucophenga_maculosa,solitary,DD
Elachiptera_nigriceps,solitary,DD
Hapleginella_conicola,solitary,DD
Ocydromia_glabricula,solitary,DD
Heterophlebus_versabilis,solitary,DD
Diaphorus_mandarinus,solitary,DD
Neurigona_disjuncta,solitary,DD
Efferia_bicaudata,solitary,DD
Neolophonotus_kalahari,solitary,DD
Synolcus_dubius,solitary,DD
Furcilla_delicatula,solitary,DD
Stenopogon_boharti,solitary,DD
Laxenecera_engeli,solitary,DD
Saropogon_luteus,solitary,DD
Pegesimallus_aulicus,solitary,DD
Allognosta_obscuriventris,solitary,DD
Haematopota_pluvialis,solitary,DD
Parosca_viridiventris,solitary,DD
Scione_maculipennis,solitary,DD
Dicranomyia_didyma,solitary,DD
Elporia_barnardi,solitary,DD
Asteromyia_laeviana,solitary,DD
Neuratelia_caucasica,solitary,DD
Trichonta_atricauda,solitary,DD
Boletina_cordata,solitary,DD
Mycetophila_pumila,solitary,DD
Mycetophila_confluens,solitary,DD
Mycomya_circumdata,solitary,DD
Cramptonomyia_spenceri,solitary,DD
Ericodesma_indigestana,solitary,DD
Acleris_variegana,solitary,DD
Cochylis_pallidana,solitary,DD
Cornuticlava_phanera,solitary,DD
Epiphyas_cerussata,solitary,DD
Argyrotaenia_tabulana,solitary,DD
Coeloptera_gyrobathra,solitary,DD
Rhomboceros_homogama,solitary,DD
Tortrix_celatrix,solitary,DD
Dracontogena_solii,solitary,DD
Grapholita_tenebrosana,solitary,DD
Sorolopha_archimedias,solitary,DD
Epinotia_cinereana,solitary,DD
Epinotia_subocellana,solitary,DD
Rhopobota_dietziana,solitary,DD
Statherotis_euryphaea,solitary,DD
Olethreutes_nordegganus,solitary,DD
Leurogyia_peristictum,solitary,DD
Choristis_discotypa,solitary,DD
Histia_flabellicornis,solitary,DD
Trosia_placida,solitary,DD
Parasa_lepida,solitary,DD
Eloasa_bombycoides,solitary,DD
Cania_robusta,solitary,DD
Parasoidea_albicollaris,solitary,DD
Parasa_mina,solitary,DD
Pseudanapaea_dentifascia,solitary,DD
Doratifera_oxleyi,solitary,DD
Parasa_lepidula,solitary,DD
Trismelasmos_donovani,solitary,DD
Synemon_phaeoptila,solitary,DD
Coscinoptycha_improbana,solitary,DD
Metallochlora_militaris,solitary,DD
Hemistola_chrysoprasaria,solitary,DD
Somatina_eurymitra,solitary,DD
Heliomata_cycladata,solitary,DD
Corula_geometroides,solitary,DD
Hulstina_formosata,solitary,DD
Opisthoxia_cluana,solitary,DD
Melinodes_fulvitincta,solitary,DD
Ennomos_erosarius,solitary,DD
Macaria_alternata,solitary,DD
Hypomecis_crimnodes,solitary,DD
Psilosticha_mactaria,solitary,DD
Lomographa_vestaliata,solitary,DD
Paradromulia_ambigua,solitary,DD
Bracca_rosenbergi,solitary,DD
Cepphis_armataria,solitary,DD
Odontopera_aurata,solitary,DD
Amelora_goniota,solitary,DD
Paurocoma_molybdina,solitary,DD
Tacparia_atropunctata,solitary,DD
Pero_behrensaria,solitary,DD
Scopula_didymosema,solitary,DD
Idaea_pachydetis,solitary,DD
Idaea_attenuaria,solitary,DD
Rhodostrophia_nesam,solitary,DD
Conchyliodes_distelitis,solitary,DD
Eupithecia_vulgata,solitary,DD
Eupithecia_palpata,solitary,DD
Chrysolarentia_callima,solitary,DD
Melitulias_oriadelpha,solitary,DD
Hydriomena_manzanita,solitary,DD
Dysstroma_walkerata,solitary,DD
Eois_serrilineata,solitary,DD
Venusia_cambrica,solitary,DD
Oospila_obeliscata,solitary,DD
Dichromodes_obtusata,solitary,DD
Ophyx_pseudoptera,solitary,DD
Stenocarsia_metaplatys,solitary,DD
Termessa_zonophanes,solitary,DD
Macrocneme_vittata,solitary,DD
Nephelosia_caecina,solitary,DD
Schistophleps_obducta,solitary,DD
Rhynchopyga_cryptoleuca,solitary,DD
Histioea_cepheus,solitary,DD
Episcepsis_sixola,solitary,DD
Lophocampa_citrina,solitary,DD
Calidota_strigosa,solitary,DD
Lepidokirbyia_venigera,solitary,DD
Nyctemera_adversata,solitary,DD
Spilosoma_vagans,solitary,DD
Pararctia_yarrowii,solitary,DD
Rhyparia_purpurata,solitary,DD
Grammia_brillians,solitary,DD
Amaxia_pandama,solitary,DD
Haploa_confusa,solitary,DD
Opharus_quadripunctata,solitary,DD
